Date,Discharge,Velocity,Temperature,Salinity,Prior,ALL
1,7929.92115,0.050392309,24.48,542,4986.333333,2262.666667
2,6966.732723,0.045113695,26.27,653,2262.666667,34.5
3,5700.051768,0.038819009,27.05,677,34.5,391.5
4,4925.674938,0.035356963,26.97,676,391.5,1176
5,5821.14495,0.03553171,24.8,724,1176,396
6,9892.598599,0.055445662,26.18,827,396,466.25
7,14938.55125,0.07025305,24.48,975,466.25,12132
8,16536.31408,0.074735457,23.38,852,12132,2508.5
9,13760.51894,0.070650049,21.65,705,2508.5,1308.5
10,12604.45489,0.062924422,22.75,719,1308.5,432.2
11,15384.13753,0.071751759,23.42,651,432.2,864.5
12,12481.38204,0.065609136,21.18,623,864.5,1774.5
13,10355.85293,0.060507819,18.49,610,1774.5,692
14,3407.011809,0.025707465,18.23,612,692,1040
15,10080.26482,0.057049975,18.46,599,1040,1417
16,7302.15744,0.046505425,17.2,602,1417,817
17,6366.317855,0.042615381,15.73,624,817,517
18,3313.34915,0.025899616,14.35,679,517,317
19,5237.970038,0.035998002,13.73,699,317,56
20,7146.109048,0.04389469,13.56,681,56,86
21,10823.63244,0.058877401,13.19,712,86,126
22,11021.92797,0.062502789,12.96,767,126,66
23,8292.453981,0.049475497,11.97,793,66,96
24,10588.43844,0.058882348,11.46,742,96,57
25,8968.236275,0.053360893,11.45,715,57,112
26,9402.920086,0.054664354,11.62,738,112,866.5
27,6974.66088,0.045689482,11.06,714,866.5,518.5
28,6884.640075,0.046498688,10.51,693,518.5,718.5
29,3056.306752,0.023718396,11.17,689,718.5,1020
30,2917.793872,0.02292923,11,713,1020,156
31,2184.514509,0.017764844,11.05,704,156,50
32,2550.510247,0.020245377,12.3,738,50,60
33,2232.776782,0.018484504,13.85,758,60,160
34,1609.138133,0.013466766,15.19,776,160,131
35,3197.753654,0.024673222,15.84,803,131,120
36,2234.389786,0.018311144,15.75,829,120,80
37,1444.66675,0.01227726,15.55,798,80,68
38,1601.200876,0.013502301,16.45,803,68,42
39,2745.774001,0.021374613,17.65,810,42,52
40,3095.328318,0.024242273,19.48,871,52,132
41,2497.299612,0.020025434,20.14,928,132,72
42,2930.680554,0.022769227,19.11,1003,72,61.66666667
43,2940.497847,0.022655827,19.58,1057,61.66666667,161.6666667
44,3456.639134,0.026466245,20.65,1133,161.6666667,261
45,2278.70186,0.018547453,21.9,1169,261,770
46,2172.929797,0.017643741,22.37,1207,770,800
47,2275.629293,0.018359436,23.69,1234,800,632
48,2637.838945,0.020810436,24.73,1230,632,2200
49,3541.092534,0.027159943,25.7,1233,2200,390
50,2603.380633,0.020344389,24.03,1209,390,390
51,2953.780505,0.023156238,25.26,1181,390,150
52,2248.785641,0.01817112,23.83,1143,150,52
53,2252.078858,0.018158356,26.53,1118,52,92
54,2714.032791,0.02138358,25.26,1084,92,192
55,2879.827127,0.022453312,25.41,1051,192,290
56,3076.318482,0.023844047,24.53,1021,290,13
57,3111.635797,0.023935871,26.44,989,13,80
58,2889.379209,0.022567477,25.48,949,80,83
59,3050.693354,0.023750578,26.28,917,83,63
60,3249.418274,0.024984801,25.35,887,63,33
61,2764.228586,0.022037119,22.29,885,33,14
62,1823.57127,0.015038383,21.71,904,14,114
63,2478.37283,0.019732683,20.33,930,114,215.5
64,3088.692838,0.023966122,18.39,924,215.5,120
65,2723.987545,0.021663948,16.58,927,120,171
66,2190.453806,0.017842958,16.96,923,171,462
67,2270.421635,0.018368322,16.78,906,462,125
68,3038.393167,0.023533713,16.26,932,125,165
69,2923.848861,0.022996409,16.16,905,165,145
70,1785.629969,0.014898416,15.57,944,145,155
71,3412.22838,0.025748063,14.67,919,155,135
72,4683.710082,0.032874073,13.84,806,135,150
73,10320.20846,0.056474293,13.64,741,150,180
74,10590.74861,0.059018516,13.37,846,180,247
75,13270.98711,0.064231414,11.48,767,247,354.75
76,21410.82481,0.082897255,10.55,593,354.75,106
77,24541.45222,0.089471543,10.08,470,106,2400
78,19634.99589,0.080845958,9.59,421,2400,1371.666667
79,26122.09856,0.087183843,10.12,478,1371.666667,4711.5
80,31386.57017,0.098433991,9.77,433,4711.5,7506
81,31693.23801,0.097422844,10.12,433,7506,2713
82,30784.17754,0.095937997,9.89,374,2713,1095
83,32781.43258,0.096495632,11.04,502,1095,1442.5
84,36167.91039,0.102030354,13.32,485,1442.5,3900
85,39687.10057,0.103324078,14.21,430,3900,1029.5
86,43710.7378,0.106005142,13.19,394,1029.5,920.5
87,47809.09386,0.108760804,14.66,394,920.5,732.5
88,51642.22375,0.111422809,15.95,367,732.5,586.5
89,54377.15008,0.113259188,17.17,319,586.5,2900
90,25993.66997,0.11041724,17.23,329,2900,3200
91,8724.483067,0.052690312,18.64,412,3200,3200
92,4749.883232,0.034485895,20.1,440,3200,950
93,5144.539717,0.035220624,18.24,481,950,1950
94,8908.771343,0.05242394,20.52,565,1950,2950
95,10218.74908,0.056152303,20.87,724,2950,3950
96,11707.30757,0.062564793,22.27,697,3950,4907
97,7914.393323,0.050355662,22.74,693,4907,1542.333333
98,6589.432508,0.043202519,23.65,751,1542.333333,125
99,6567.396202,0.043181862,22.49,720,125,23
100,3868.728184,0.029476464,22.13,691,23,86
101,2018.809245,0.016497658,22.35,691,86,29
102,2872.564044,0.022165156,23.57,690,29,60
103,4402.871186,0.032113904,24.49,696,60,48
104,4697.809148,0.033620842,26.79,695,48,50
105,2735.139786,0.022043352,26.08,730,50,114
106,2459.030107,0.019423572,23.9,766,114,545
107,3491.593264,0.026429742,23.85,791,545,1089
108,3322.49053,0.025341669,24.6,793,1089,247.5
109,2829.195312,0.022253762,23,845,247.5,102
110,4559.52687,0.032159378,26.27,834,102,139
111,5516.761205,0.037305349,24.72,811,139,42
112,8014.807142,0.050207106,25.08,783,42,152
113,4815.975154,0.034161414,25.34,740,152,320
114,5270.527377,0.036580901,23.03,750,320,57.33333333
115,5273.366298,0.036557239,23.45,707,57.33333333,483.4166667
116,5506.835401,0.03751645,21.16,699,483.4166667,28
117,6215.821324,0.040554006,19.37,644,28,50
118,10030.74614,0.057262683,17.17,644,50,324
119,8830.650174,0.052986543,17.19,625,324,644
120,7759.538165,0.048197138,16.51,612,644,1089
121,9069.4161,0.054871871,17.24,600,1089,247.5
122,4837.813603,0.03304151,15.36,584,247.5,2
123,8806.327827,0.052477252,14.94,557,2,9
124,8445.779258,0.051050908,14.14,543,9,42
125,8945.224946,0.052419912,13.95,548,42,152
126,9134.486151,0.054109577,12.89,553,152,320
127,5534.452701,0.038990144,12.97,553,320,320
128,5430.540935,0.037150865,12.83,567,320,357.3333333
129,8669.787901,0.048799848,12.11,537,357.3333333,377.3333333
130,14179.28302,0.066541943,11.49,523,377.3333333,483.4166667
131,20752.60852,0.080193143,11.47,534,483.4166667,2049.666667
132,28562.82808,0.091835483,11.6,460,2049.666667,1705.75
133,32906.09772,0.098007373,11.44,409,1705.75,2149.666667
134,36280.48149,0.101688108,11.44,394,2149.666667,3440
135,36447.83199,0.101659407,12.21,379,3440,1553.5
136,37206.21165,0.102447926,11.52,404,1553.5,3168
137,38864.93733,0.104193726,12.82,386,3168,3015
138,39625.05825,0.103818874,13.33,383,3015,3345
139,42442.19013,0.105733766,14,353,3345,2613
140,44793.18785,0.107506493,15.5,337,2613,4823
141,47389.83246,0.109142838,15.37,303,4823,3246
142,50489.18334,0.110540052,15.34,313,3246,2214
143,53809.66579,0.112427135,17.91,279,2214,2250
144,55697.90208,0.113605255,18.86,282,2250,5093
145,57048.92436,0.114161152,19.92,289,5093,5759.666667
146,56722.59049,0.115128776,20.01,295,5759.666667,4735.333333
147,53953.79737,0.11391082,19.95,319,4735.333333,4431.666667
148,50858.30985,0.112539902,20.14,294,4431.666667,8866.333333
149,48871.72484,0.110350367,20.39,261,8866.333333,9692.333333
150,50697.81799,0.11142371,21.23,223,9692.333333,3347.5
151,53365.48183,0.111721491,21.94,212,3347.5,4951.75
152,57183.57193,0.113424362,22.66,223,4951.75,2212.333333
153,60940.60901,0.115398846,23.4,232,2212.333333,5548.333333
154,61255.20523,0.120729028,23.89,249,5548.333333,4891.5
155,18626.8925,0.094973757,23.62,318,4891.5,5525.666667
156,7103.502316,0.046640458,24.89,331,5525.666667,101.3333333
157,6079.945076,0.040322658,24.74,366,101.3333333,361.5
158,7901.699706,0.0495343,25.36,425,361.5,19
159,7137.198302,0.045484134,25.28,654,19,1111
160,5930.572756,0.039754171,27.98,739,1111,59.25
161,7270.156563,0.044954281,26.58,583,59.25,24
162,8119.668617,0.050700237,29.33,560,24,915
163,5984.032161,0.040076951,26.34,577,915,112.3333333
164,6748.297474,0.043951365,23.71,551,112.3333333,68.66666667
165,6075.547822,0.040630376,22.48,540,68.66666667,609
166,6078.627183,0.04062029,21.84,557,609,552.5
167,6565.348712,0.042553902,20.79,568,552.5,680
168,6328.791116,0.041471218,19.48,581,680,724
169,6940.376754,0.045334375,18.04,581,724,871
170,5409.420197,0.036592736,18.03,585,871,2476
171,5645.749805,0.038230625,18.68,597,2476,125
172,5310.711898,0.037631526,18.12,617,125,38
173,4841.80491,0.033967325,16.59,622,38,28
174,5105.649521,0.035880543,14.53,599,28,13
175,4898.930442,0.034421126,14.55,587,13,22
176,9595.003374,0.051933735,14.82,541,22,56
177,12608.7077,0.065797336,13.02,555,56,96
178,10036.73289,0.056952332,12.43,539,96,220
179,8963.547306,0.055131757,11.61,516,220,320
180,6717.423773,0.043523187,11.45,489,320,240
181,6406.248186,0.043069147,11.4,507,240,292
182,4903.005761,0.034508147,10.61,486,292,78
183,6167.703074,0.041497034,10.22,466,78,82.5
184,4194.880142,0.03118462,10.57,446,82.5,19
185,2628.191987,0.020889292,10.55,456,19,10.66666667
186,2854.250926,0.022281109,10.45,488,10.66666667,30.66666667
187,2898.521313,0.022711817,11.46,502,30.66666667,50
188,3346.878641,0.026004678,12.06,536,50,20
189,3174.696309,0.024425037,12.02,614,20,520
190,3592.687877,0.026700507,13.47,611,520,1720
191,5546.427814,0.039475423,14.52,570,1720,3500
192,6653.8309,0.042793058,16.21,579,3500,1980
193,8950.256193,0.052420655,17.44,609,1980,1280
194,11758.46094,0.061350351,18.15,656,1280,724
195,9419.40179,0.056261477,18.99,729,724,3572
196,3761.337812,0.029686783,18.63,570,3572,4389
197,1134.982131,0.009662848,20.39,593,4389,3674.5
198,3508.934316,0.026119756,22.06,635,3674.5,506
199,3353.80129,0.024977427,21.7,708,506,661.3333333
200,5211.928169,0.037537601,22.56,732,661.3333333,211.3333333
201,2394.444556,0.019172371,22.73,709,211.3333333,39
202,2919.564577,0.023062349,25.89,753,39,1116
203,2071.129298,0.016806441,25.14,765,1116,53
204,3659.695499,0.027372328,25.2,725,53,66
205,2989.38115,0.023267416,23.5,735,66,40
206,4064.775654,0.029198939,25.04,662,40,13
207,4544.701561,0.033283603,25.35,670,13,4
208,2368.812472,0.019320268,23.31,691,4,40
209,3399.258406,0.025260209,26.2,638,40,4.5
210,5624.249573,0.038527482,24.98,565,4.5,36.5
211,4376.101563,0.031741469,23.75,572,36.5,20
212,3853.63271,0.029198431,24.6,569,20,19
213,2721.326482,0.02109035,24.51,560,19,186
214,4653.348562,0.033778685,23.58,557,186,23
215,2900.387423,0.022781263,25.88,570,23,46.5
216,2731.441178,0.021829013,23.8,601,46.5,80
217,2227.390226,0.017970708,24.08,608,80,296
218,2868.943113,0.022614256,23.42,597,296,176
219,2424.044176,0.019343266,21.24,598,176,22
220,3654.829898,0.027504162,19.87,599,22,51.75
221,2302.373195,0.018618291,18.59,618,51.75,30
222,1966.857973,0.016181105,16.99,620,30,10.66666667
223,3551.505577,0.026301361,16.84,613,10.66666667,5
224,3309.881573,0.025417756,16.16,643,5,22
225,2941.960308,0.023381814,15.29,654,22,33
226,1921.43794,0.016035081,14.93,670,33,21
227,2092.262215,0.017094687,15.26,715,21,56
228,2076.629936,0.017037926,14.17,744,56,68
229,2256.210775,0.018116673,14.14,746,68,7.5
230,3051.497081,0.023598549,12.43,765,7.5,16
231,2956.602625,0.023093916,12.05,760,16,36
232,2337.911866,0.019061117,10.96,779,36,96
233,2218.550013,0.018106007,11.09,803,96,21
234,2232.101557,0.018069363,11,804,21,71
235,2846.20898,0.022188863,10.71,793,71,20
236,2724.307758,0.0215764,11.74,748,20,10
237,3202.508737,0.024746536,10.89,723,10,22
238,2840.12679,0.022272982,11.86,662,22,17
239,3379.809944,0.025309518,12.95,739,17,40
240,3546.608811,0.027296918,13.26,668,40,48
241,2266.47598,0.018324909,13.98,666,48,31
242,2339.657553,0.018740888,15.39,717,31,36
243,3514.70204,0.026525136,15.48,665,36,13
244,10593.39648,0.053849019,15.91,588,13,20
245,20861.33703,0.082889175,17,463,20,38
246,21333.00015,0.084391909,18.72,426,38,423.5
247,23643.60289,0.087080569,17.92,380,423.5,1684
248,27151.1943,0.091048294,18.09,383,1684,268.75
249,30570.577,0.095803109,18.16,352,268.75,160
250,31702.24489,0.098858662,18.23,360,160,915
251,26112.6547,0.094496008,19.31,370,915,5245
252,17472.70754,0.07853358,19.71,461,5245,5159.333333
253,16442.71971,0.074438565,21.22,521,5159.333333,2962.5
254,17091.81564,0.074655248,23.39,380,2962.5,2018.333333
255,22490.21404,0.083323407,24.1,345,2018.333333,1476.866667
256,25002.0389,0.088448552,24.51,348,1476.866667,2412
257,19957.82939,0.083867065,25.88,401,2412,2101.5
258,17425.52396,0.077190393,25.73,449,2101.5,1470
259,16404.57068,0.075801747,25.06,457,1470,1170
260,11572.49508,0.062752978,28.33,453,1170,937
261,8944.430711,0.050629809,27.7,476,937,145
262,10474.44298,0.062883635,26.26,494,145,268
263,5363.26017,0.036885872,26.33,526,268,197
264,5465.670612,0.037505618,27.35,514,197,63
265,5646.640502,0.038525907,26.73,505,63,93
266,8555.018406,0.048324483,26.78,487,93,122
267,11825.38234,0.064201083,25.4,484,122,53.5
268,9855.700666,0.056352801,26.66,495,53.5,357
269,7889.289016,0.049244511,25.83,495,357,142
270,6244.72319,0.041300891,23.65,472,142,21
271,7076.877013,0.044901347,22,470,21,49.5
272,8437.049523,0.050801487,19.25,485,49.5,27
273,8646.35375,0.05060679,18.37,484,27,197.3333333
274,11819.96433,0.061765534,19.18,436,197.3333333,100
275,11527.96359,0.063782519,17.7,435,100,115
276,6720.920813,0.043441392,15.77,447,115,428
277,8024.882975,0.050013101,15.55,464,428,310
278,6435.367272,0.04187661,15.4,483,310,77
279,8816.87176,0.051840514,15,423,77,50
280,8604.445774,0.052367121,14.8,378,50,80
281,7692.446793,0.047769731,14.27,394,80,43
282,9061.875381,0.053300214,13.65,431,43,110
283,8363.195269,0.050999245,11.95,473,110,114
284,8977.62752,0.051970836,11.61,441,114,122.5
285,11850.65526,0.06228127,11.71,441,122.5,1522
286,11952.90459,0.063084662,11.87,413,1522,900
287,12079.92863,0.063826603,12.37,426,900,1123.5
288,10182.78591,0.05904583,12.39,430,1123.5,2000
289,5152.900439,0.036117139,12.69,542,2000,2275
290,5419.688673,0.037647894,12.19,495,2275,985
291,4727.108741,0.032821505,12.95,531,985,2650
292,6112.776344,0.042412123,13.54,546,2650,1250
293,2419.229693,0.019617685,14.32,604,1250,260
294,2405.097592,0.018621351,15.89,658,260,5720
295,9792.159963,0.054878837,15.8,539,5720,580
296,9189.438496,0.053834443,16.12,542,580,93.33333333
297,11069.63598,0.060018234,16.54,473,93.33333333,197
298,6484.742428,0.044283529,18.98,479,197,120
299,4660.238481,0.032092956,20.5,466,120,110
300,7405.603121,0.047711327,21.81,450,110,104
301,6832.066218,0.044102701,20.92,490,104,70
302,6289.824394,0.042006632,20.33,470,70,34
303,5542.147065,0.037549746,20.64,446,34,44
304,7103.757765,0.045128877,19.48,445,44,46
305,6866.689405,0.044683105,20.17,462,46,20
306,6771.769933,0.043412667,21.63,469,20,30
307,7575.062742,0.047430889,24.2,458,30,41
308,6636.655164,0.043912667,24.86,523,41,51
309,3542.641742,0.02720015,23.38,536,51,70
310,3312.821573,0.025292135,23.1,515,70,15
311,3545.623886,0.026763999,23.27,522,15,207
312,3553.677141,0.026840923,23.2,517,207,31
313,3084.708857,0.023837591,25.68,550,31,47
314,2916.622139,0.02284754,26.8,569,47,87
315,2752.455203,0.021755873,23.45,589,87,110
316,3145.145518,0.024232511,27.15,613,110,357
317,2901.44412,0.022749848,26.33,631,357,110
318,2686.456727,0.021113721,26.46,689,110,50
319,4365.562215,0.03036342,27.2,621,50,71
320,4955.110518,0.034554032,26.98,585,71,318
321,3870.846199,0.029624569,25.83,583,318,518
322,3110.10877,0.023938865,24,624,518,1102
323,3313.715205,0.025186773,22.17,652,1102,342
324,3808.62786,0.028375417,21.26,656,342,220
325,3640.91798,0.02771193,20.01,649,220,102
326,4592.46962,0.032356823,20.44,629,102,62
327,6497.497761,0.042290891,19.94,608,62,42
328,6712.63271,0.043858749,18.07,583,42,30
329,6338.29782,0.042086848,17.69,568,30,12
330,5441.205147,0.037805812,16.84,549,12,16.5
331,4872.020028,0.034505845,16.19,562,16.5,93
332,4609.047267,0.033061122,15.09,580,93,145
333,4951.328643,0.034705885,13.32,569,145,51
334,5434.978851,0.037621657,12.65,546,51,7.5
335,5283.94205,0.036693076,11.82,527,7.5,21
336,5020.88489,0.035174641,11.73,531,21,44
337,5239.182949,0.036442432,11.37,510,44,55
338,4951.229395,0.034963312,11.69,535,55,65
339,5037.111412,0.035192953,11.53,511,65,102
340,5566.516982,0.037857747,11.37,475,102,65.5
341,6651.466303,0.043035526,11.6,454,65.5,159.1666667
342,6439.911234,0.041646931,11.63,477,159.1666667,394.3333333
343,12227.14951,0.061057634,12.14,417,394.3333333,1921
344,15783.23789,0.073397473,12.09,328,1921,1261.25
345,13520.43301,0.069287369,12.18,356,1261.25,889.1333333
346,13830.21136,0.067433868,13.19,413,889.1333333,4903
347,16987.41236,0.072572131,13.97,419,4903,7138
348,21276.52087,0.082719274,14.54,412,7138,2836.333333
349,25314.90886,0.089566256,16.67,392,2836.333333,8804.25
350,26182.85799,0.092126251,18.09,384,8804.25,11903.66667
351,21173.11133,0.083730922,18.53,338,11903.66667,6710.5
352,23063.92929,0.084401727,18.49,326,6710.5,3110
353,31286.68356,0.09420397,17.89,288,3110,5914.333333
354,35221.74031,0.101286288,19.08,332,5914.333333,3197.5
355,33441.36809,0.101225304,20.24,309,3197.5,1733.466667
356,26029.65511,0.093293588,21.34,293,1733.466667,2195.666667
357,22501.78573,0.086671548,23.71,262,2195.666667,2101.666666
358,22625.10167,0.084887143,25.31,301,2101.666666,3037.75
359,26121.34232,0.09046817,26.01,322,3037.75,1461
360,30987.35758,0.094723965,25.44,270,1461,1333
361,34602.08134,0.101864125,25.82,317,1333,1221
362,29929.8528,0.097623749,27.07,332,1221,1576
363,24935.61038,0.091804619,24.37,418,1576,742.3333333
364,19674.07178,0.083901124,25.84,637,742.3333333,1276
365,11039.84407,0.062570933,27.47,637,1276,2233.5
366,8100.195704,0.051193935,27.04,530,2233.5,639.6666667
367,4415.471152,0.032082506,28.44,526,639.6666667,242
368,5497.403691,0.037915821,26.2,442,242,373.6666667
369,5439.365242,0.037467573,28.22,432,373.6666667,110.3333333
370,7490.481307,0.044515112,24.65,435,110.3333333,374
371,12828.10079,0.065489937,25.3,451,374,437
372,14347.56458,0.070196681,24.67,464,437,195.6666667
373,10286.2294,0.059095237,25.16,456,195.6666667,170
374,8200.38561,0.050576367,23.46,418,170,120
375,7171.701825,0.044307947,20.26,407,120,86.66666667
376,14004.1337,0.066669159,19.51,405,86.66666667,680
377,17048.77403,0.075838213,20.04,416,680,191.25
378,18212.48963,0.077443126,19.09,368,191.25,730
379,17377.14412,0.077556259,18.98,365,730,909
380,14112.20871,0.072701639,16.66,400,909,770
381,5125.654537,0.036396559,16.57,431,770,96
382,5848.679797,0.038872202,16.55,497,96,138
383,9900.765102,0.055828817,15.83,463,138,85
384,4126.723691,0.030600587,14.39,473,85,91
385,3604.145754,0.027743002,13.41,479,91,290
386,2629.899036,0.021018859,13.35,519,290,72.5
387,2173.199014,0.017703204,13.2,547,72.5,40
388,2307.7476,0.018641646,12.32,557,40,60
389,2202.965499,0.018001652,12.7,618,60,90
390,4080.220835,0.029468893,11.67,591,90,6.5
391,4878.977617,0.034383708,11.84,617,6.5,12
392,5907.29668,0.039985301,11.86,591,12,13.5
393,6047.086638,0.040686247,12.31,564,13.5,20
394,4825.564713,0.034696885,12.57,555,20,10.5
395,4758.825903,0.033611048,12.39,600,10.5,12
396,5356.070971,0.037133123,13.51,532,12,30
397,5399.026041,0.03733916,13.4,512,30,41.33333333
398,5655.019258,0.038709189,13.46,524,41.33333333,62.25
399,5994.236424,0.040054483,14.08,509,62.25,104.8
400,6212.132365,0.04143448,15.45,489,104.8,404.8
401,6215.050344,0.041700847,16.9,506,404.8,795.5
402,5759.718242,0.038880596,17.25,514,795.5,62
403,6487.074,0.043030445,17.63,517,62,91.5
404,6394.24172,0.041926664,17.39,522,91.5,68.5
405,6568.533108,0.042821667,17.51,524,68.5,11.33333333
406,7147.022261,0.045590684,17.62,515,11.33333333,23
407,7111.099218,0.045315636,18.87,483,23,10.5
408,6045.142673,0.041941992,20.08,530,10.5,74.5
409,5157.790217,0.035473979,19.99,533,74.5,107.6666667
410,5994.724004,0.041749691,20.68,576,107.6666667,440.5
411,2985.344335,0.023173767,21.56,572,440.5,278
412,3919.85419,0.029193042,21.26,596,278,188.6666667
413,3611.002225,0.027202775,21.94,620,188.6666667,49.33333333
414,4111.522068,0.030202362,23.24,615,49.33333333,38.5
415,3224.415432,0.024897072,22.81,605,38.5,220.5
416,3375.611239,0.02576978,22.44,596,220.5,177
417,3253.659041,0.025177339,24.04,602,177,39.33333333
418,2892.146132,0.02265794,22.7,621,39.33333333,55
419,3213.941025,0.024917501,24.31,613,55,96
420,3475.662368,0.026508059,24.63,601,96,94
421,3149.441738,0.024293054,22.79,609,94,1286.333333
422,3260.969419,0.024908411,24.2,625,1286.333333,781
423,3159.209051,0.024300116,24.1,622,781,100
424,3217.252407,0.024666752,23.88,627,100,18
425,2991.09391,0.023454901,23.59,634,18,90
426,2522.583008,0.020238699,22.77,636,90,212.6666667
427,2599.469513,0.020839073,23.22,646,212.6666667,112.5
428,2837.565411,0.022346042,21.42,649,112.5,125
429,3028.731621,0.023490012,20.65,657,125,220
430,2032.700282,0.016951554,21.38,657,220,330
431,1791.269469,0.014678186,20.26,680,330,38
432,2632.407351,0.021002013,19.45,679,38,29
433,2019.1147,0.016800073,19.12,680,29,13
434,697.2645848,0.006181801,17.59,692,13,23
435,852.5574048,0.007428568,17.12,710,23,5
436,1847.698773,0.015364232,15.29,701,5,20
437,1955.009578,0.016232056,14.28,710,20,4
438,1773.942762,0.01474128,12.73,715,4,2
439,1886.796729,0.015604336,13.18,733,2,80
440,1739.915587,0.014494286,12.76,723,80,30
441,1856.888812,0.015340524,12.43,703,30,20
442,1980.655371,0.016288497,10.88,705,20,10
443,1825.606635,0.015133209,11.11,699,10,20
444,2040.54518,0.016726655,11.44,690,20,20
445,2192.321743,0.017886698,11.33,707,20,3
446,2075.009603,0.017071383,12.3,712,3,6
447,2721.985508,0.021289007,12.86,673,6,2
448,2886.190777,0.022948344,13.17,659,2,12
449,2101.115227,0.017158337,13.28,656,12,3
450,2193.87505,0.017838096,13.05,651,3,8
451,1671.545625,0.014026721,14.73,665,8,24
452,1700.481014,0.014193597,14.99,652,24,10
453,1995.246019,0.016465799,15.49,623,10,20
454,2094.116985,0.017012186,16.93,599,20,26
455,1809.486218,0.015034919,16.19,597,26,7.333333333
456,1801.499919,0.014886076,16.58,592,7.333333333,120
457,2541.477077,0.020429064,18.56,591,120,54.5
458,2291.118309,0.018508206,18.72,598,54.5,338.5
459,2011.478385,0.016485896,20.8,593,338.5,117.6666667
460,1911.242219,0.015802567,21.62,577,117.6666667,2.5
461,1876.991347,0.01552005,22.49,580,2.5,20
462,2089.5797,0.017107433,24.33,583,20,10
463,3058.76987,0.024161963,24.6,500,10,14.5
464,2680.459387,0.021294861,22.05,522,14.5,12
465,2310.020097,0.018333691,22.28,473,12,111
466,3133.70251,0.024449957,26.11,442,111,470
467,2195.091218,0.017864834,24.18,412,470,6750
468,2089.881871,0.017183411,24.44,387,6750,690
469,2468.533651,0.019484333,24.87,380,690,153.3333333
470,2225.114064,0.018412269,24.83,369,153.3333333,433.5
471,1637.957643,0.013746989,25.95,349,433.5,417
472,1808.43865,0.014970297,25.31,350,417,327
473,1794.404801,0.014844027,25.87,362,327,20
474,1878.398503,0.015559735,24.04,347,20,44
475,2529.749901,0.019838638,22.22,344,44,20
476,3963.458301,0.028604816,24.56,329,20,70
477,4242.485058,0.031688167,22.53,366,70,130
478,2751.719534,0.021991939,23.45,368,130,10
479,2405.826502,0.019209264,21.39,389,10,130
480,2394.92724,0.019183749,21.31,411,130,70
481,2885.803549,0.022543752,20.67,392,70,50
482,2463.680011,0.019991402,19.47,383,50,120
483,2534.749335,0.020260192,18.6,389,120,80
484,2472.432434,0.019801836,19.1,363,80,90
485,2495.613572,0.019863608,18.34,358,90,100
486,1351.294824,0.011676565,17.33,391,100,10
487,1121.450359,0.009619625,16.64,423,10,20
488,1868.797966,0.015569501,15.66,445,20,50
489,2108.864083,0.017290519,14.86,472,50,30
490,2171.413478,0.017664329,13.9,466,30,4
491,703.9315146,0.006273754,12.57,473,4,14
492,775.3443945,0.006851764,12.33,516,14,7
493,1103.04329,0.009378672,11.49,512,7,6
494,1892.471782,0.01544374,11.97,520,6,6
495,2510.654353,0.020267479,11.88,512,6,56
496,2225.86444,0.018140817,11.96,539,56,108
497,1998.864932,0.016328049,11.01,536,108,50
498,2011.292822,0.016546281,11.14,563,50,33
499,2074.207372,0.017038525,11.27,595,33,20
500,2221.533289,0.018049663,11.52,639,20,10
501,4545.809769,0.032012286,11.54,589,10,7
502,3929.673936,0.029132691,12.48,551,7,50
503,4378.326528,0.031857321,13.12,522,50,320
504,5847.092522,0.038680314,14.78,546,320,234
505,10240.9095,0.056198917,14.7,567,234,20
506,12327.52411,0.063791444,16.58,324,20,240
507,10847.82097,0.061889526,15.62,244,240,619
508,6461.853842,0.042723089,16.6,258,619,923
509,6164.006512,0.04087872,18.54,309,923,1070
510,4767.250874,0.034865773,19.76,364,1070,630
511,3558.602202,0.026836253,19.24,370,630,416.5
512,3311.191951,0.025343014,20.88,390,416.5,300
513,3267.394593,0.025056909,23.38,413,300,68
514,3213.098128,0.024766076,24.83,397,68,191
515,3052.064237,0.023598961,23.36,393,191,8.5
516,3041.423121,0.023686418,22.92,391,8.5,50
517,2775.710831,0.021610188,24.02,389,50,67
518,4189.846545,0.030822987,26.18,395,67,17
519,3955.830167,0.029284795,25.32,393,17,39
520,4470.207671,0.032487341,25.93,390,39,958
521,3648.447042,0.027833198,24.1,380,958,800
522,3075.785585,0.023771053,24.82,373,800,500
523,3189.628461,0.024548562,25.1,398,500,300
524,3328.793022,0.025369805,24,380,300,133.5
525,3389.569995,0.025792127,24.45,363,133.5,60
526,3196.902629,0.024866202,26.59,360,60,2
527,2777.534559,0.021959032,28.33,350,2,36
528,2456.981616,0.019630244,26.24,359,36,88
529,2938.437508,0.022815169,25.09,368,88,50
530,3171.577625,0.024583044,23.9,360,50,40
531,2924.024708,0.022826005,23.38,356,40,40
532,3259.664498,0.024711575,22.48,352,40,70
533,3856.163892,0.028897482,21.41,352,70,83
534,3043.043454,0.023653366,21.84,353,83,50
535,3205.901101,0.024736162,21.66,360,50,90
536,2917.657096,0.022918287,20.41,363,90,194
537,2363.042281,0.019051568,17.27,369,194,80
538,1765.728609,0.014828329,16.48,380,80,17
539,1614.685716,0.013563751,14.72,464,17,300
540,1750.290279,0.014646317,14.84,471,300,19
541,1894.203044,0.015634232,14.23,472,19,24
542,2465.467482,0.019619686,13.84,499,24,7587
